RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030101;1839187791;$$;N;;UNICA;0;0;7737931.1952;228.4676;1767866574;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030102;1976262700;$$;N;;UNICA;0;0;7737931.1952;228.3858;1767233725;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030103;1776003946;$$;N;;UNICA;0;0;7737931.1952;229.4754;1775665191;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030104;1776010939;$$;N;;UNICA;0;0;7737931.1952;229.4326;1775333493;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030105;1776017932;$$;N;;UNICA;0;0;7737931.1952;229.3897;1775001858;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030106;1786973121;$$;N;;UNICA;433.1259;0;7738364.3211;230.8798;1786632293;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030107;1791642953;$$;N;;UNICA;0;0;7738364.3211;231.4832;1791301216;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030108;1879791366;$$;N;;UNICA;1312.7437;16905.347;7722771.7178;228.529;1764877218;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030109;1892936916;$$;N;;UNICA;0;0;7722771.7178;230.2309;1778020940;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030110;1824560708;$$;N;;UNICA;82136.9929;0;7804908.7107;232.0841;1811395342;1570;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030111;1824568060;$$;N;;UNICA;0;0;7804908.7107;232.0408;1811057188;1570;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030112;1824575412;$$;N;;UNICA;0;0;7804908.7107;231.9975;1810719098;1570;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030113;1831521983;$$;N;;UNICA;0;0;7804908.7107;233.4703;1822214278;1570;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030114;1821295560;$$;N;;UNICA;21510.1884;742.2717;7825676.6274;232.667;1820776418;1570;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030115;1851904118;$$;N;;UNICA;47246.8573;0;7872923.4847;233.1372;1835471412;1572;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030116;1844130332;$$;N;;UNICA;0;0;7872923.4847;231.262;1820707951;1572;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030117;1816027186;$$;N;;UNICA;11180.0576;0;7884103.5423;229.41;1808692230;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030118;1816036743;$$;N;;UNICA;0;0;7884103.5423;229.3675;1808356796;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030119;1816046301;$$;N;;UNICA;0;0;7884103.5423;229.3249;1808021427;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030120;1811699535;$$;N;;UNICA;0;0;7884103.5423;229.7476;1811353972;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030121;1805327389;$$;N;;UNICA;436.8207;0;7884540.363;228.9269;1804983060;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030122;1807093500;$$;N;;UNICA;0;0;7884540.363;227.0671;1790319742;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030123;1859777549;$$;N;;UNICA;0;0;7884540.363;227.3386;1792460541;1573;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030124;1832034129;$$;N;;UNICA;0;224.4538;7884315.9092;225.9043;1781100782;1572;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030125;1832040828;$$;N;;UNICA;0;0;7884315.9092;225.862;1780767753;1572;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030126;1832047531;$$;N;;UNICA;0;0;7884315.9092;225.8198;1780434792;1572;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030127;1762247123;$$;N;;UNICA;0;502292.075;7382023.8342;223.4639;1649616149;1568;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030128;1759328643;$$;N;;UNICA;0;3692.1061;7378331.7281;223.2485;1647201337;1567;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030129;1755024108;$$;N;;UNICA;22523.0806;13760.3963;7387094.4124;221.9945;1639894696;1566;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030130;1656509094;$$;N;;UNICA;558.8688;6935.3244;7380717.9568;223.6661;1650816385;1565;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20030131;1662684498;$$;N;;UNICA;0;0;7380717.9568;224.6143;1657814983;1565;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030101;10803138211;$$;N;;1;0;35368.59;247366.77;17958.882;4442430729;29;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030101;10803138211;$$;N;;2;0;5328.49;274672.7;17915.186;4920812706;258;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030101;10803138211;$$;N;;3;0;120.53;39547.65;17846.833;705800326;1215;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030102;10925696376;$$;N;;1;41373.05;28286.79;260453.03;17959.345;4677565791;30;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030102;10925696376;$$;N;;2;5582.88;3399.74;276855.84;17915.388;4959979877;260;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030102;10925696376;$$;N;;3;664.54;122.22;40089.97;17846.543;715467394;1216;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030103;11180612266;$$;N;;1;37028.08;0;297481.11;17960.617;5342944203;32;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030103;11180612266;$$;N;;2;6272.11;0;283127.95;17916.397;5072632824;268;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030103;11180612266;$$;N;;3;2671.49;0;42761.46;17847.058;763166247;1259;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030104;11181584872;$$;N;;3;0;0;42761.46;17847.572;763188226;1259;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030104;11181584872;$$;N;;1;0;0;297481.11;17961.888;5343322503;32;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030104;11181584872;$$;N;;2;0;0;283127.95;17917.406;5072918425;268;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030105;11182557055;$$;N;;1;0;45881.55;251599.56;17963.159;4519522988;29;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030105;11182557055;$$;N;;2;0;3903.86;279224.09;17918.414;5003252829;266;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030105;11182557055;$$;N;;3;0;550.25;42211.21;17848.085;753389262;1256;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030106;12319276492;$$;N;;1;50566.74;27496.48;274669.82;17964.433;4934287676;29;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030106;12319276492;$$;N;;2;59956.37;7818.89;331361.57;17919.425;5937808780;309;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030106;12319276492;$$;N;;3;3300.45;830.5;44681.16;17848.601;797496202;1285;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030107;13557667977;$$;N;;1;65850.7;27255.28;313265.24;17965.708;5628031857;32;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030107;13557667977;$$;N;;2;36610.61;4516.31;363455.87;17920.436;6513287883;334;0;;;;;;;;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20030107;13557667977;$$;N;;3;2638.33;361.6;46957.89;17849.118;838156916;1305;0;;;;;;;;;
