RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060501;6468695716;$$;N;;UNICA;0;3333.7615;16561698.2215;386.9503;6408554200;1963;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060502;6404230396;$$;N;;UNICA;2070.8447;3681.2976;16560087.7686;386.3158;6397423716;1962;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060503;6592833936;$$;N;;UNICA;16524.4035;29000.3606;16547611.8115;387.3801;6410215921;1960;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060504;6734121013;$$;N;;UNICA;2067.3695;27050.6629;16522628.5181;386.9652;6393682737;1959;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060505;6589296300;$$;N;;UNICA;901.456;3608.2094;16519921.7647;388.2608;6414037568;1958;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060506;6589325125;$$;N;;UNICA;0;0;16519921.7647;388.1959;6412966442;1958;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060507;6589353957;$$;N;;UNICA;0;0;16519921.7647;388.1311;6411895507;1958;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060508;6499029501;$$;N;;UNICA;17687.6757;24320.4424;16513288.998;392.2036;6476571375;1957;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060509;6513387235;$$;N;;UNICA;32784.0309;2206.2569;16543866.772;392.9234;6500472911;1958;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060510;6498937882;$$;N;;UNICA;38814.1846;25451.396;16557229.5606;391.217;6477470247;1957;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060511;7005585729;$$;N;;UNICA;790777.5906;9172.5688;17338834.5824;389.5499;6754340866;1957;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060512;6955425014;$$;N;;UNICA;19696.2869;33537.6625;17324993.2068;386.2657;6692050135;1956;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060513;6955560726;$$;N;;UNICA;0;0;17324993.2068;386.2073;6691038201;1956;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060514;6955696478;$$;N;;UNICA;0;0;17324993.2068;386.1489;6690026481;1956;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060515;6778409810;$$;N;;UNICA;28180.7905;57943.9882;17295230.0091;383.9299;6640155477;1954;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060516;7038826163;$$;N;;UNICA;4162.5857;28319.2013;17271073.3935;384.7336;6644761556;1953;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060517;6838155708;$$;N;;UNICA;12493.54;55601.8283;17227965.1052;379.2853;6534313727;1953;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060518;6511689073;$$;N;;UNICA;20447.0906;21233.7033;17227178.4925;375.6069;6470647767;1954;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060519;6640627395;$$;N;;UNICA;2938.681;30532.1058;17199585.0677;374.3176;6438106593;1952;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060520;6640669941;$$;N;;UNICA;0;0;17199585.0677;374.2558;6437045058;1952;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060521;6640712500;$$;N;;UNICA;0;0;17199585.0677;374.1941;6435983718;1952;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060522;6620603616;$$;N;;UNICA;1644.4086;17840.7171;17183388.7592;370.9662;6374456705;1951;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060523;6513524876;$$;N;;UNICA;45552.2765;83429.2454;17145511.7903;373.5747;6405129776;1947;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060524;6339040047;$$;N;;UNICA;4909.9989;67260.4122;17083161.377;367.3504;6275505691;1944;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060525;6374552621;$$;N;;UNICA;23747.0282;12581.6637;17094326.7415;369.3031;6312988327;1943;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060526;6357294193;$$;N;;UNICA;3242.8568;20612.1522;17076957.4461;370.0441;6319227222;1941;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060527;6357316794;$$;N;;UNICA;0;0;17076957.4461;369.982;6318166132;1941;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060528;6357339403;$$;N;;UNICA;0;0;17076957.4461;369.9198;6317105232;1941;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060529;6657077827;$$;N;;UNICA;16291.7318;40392.0856;17052857.0923;372.4841;6351917542;1940;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060530;6547327868;$$;N;;UNICA;3564.2233;4575.3556;17051845.96;366.2453;6245158116;1940;0;;;;;;;;;
96767630;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;8001;20060531;6318877663;$$;N;;UNICA;10018.7486;15793.4532;17046071.2554;369.3076;6295243782;1938;0;;;;;;;;;
